"";"k";"alpha";"delta";"burnin";"iter";"thin";"keep";"seed";"perplexity"
"1";2;0,0617568540014327;0,0432446914166212;100;1000;10;50;33;3560,21564372706
"2";2;0,0617568540014327;0,0432446914166212;100;1000;10;50;33;3996,73121516212
"3";2;0,0617568540014327;0,0432446914166212;100;1000;10;50;33;3880,99854469679
"4";2;0,0617568540014327;0,0432446914166212;100;1000;10;50;33;3830,41032610939
"5";2;0,0617568540014327;0,0432446914166212;100;1000;10;50;33;3806,87764471706
"6";2;0,095346334669739;0,0449508819915354;100;1000;10;50;33;3557,58189258869
"7";2;0,095346334669739;0,0449508819915354;100;1000;10;50;33;3994,91781328062
"8";2;0,095346334669739;0,0449508819915354;100;1000;10;50;33;3877,91404072807
"9";2;0,095346334669739;0,0449508819915354;100;1000;10;50;33;3823,95901535151
"10";2;0,095346334669739;0,0449508819915354;100;1000;10;50;33;3805,39114085957
"11";2;0,0304358159564435;0,0892970441095531;100;1000;10;50;33;3504,17884078514
"12";2;0,0304358159564435;0,0892970441095531;100;1000;10;50;33;3923,04269422861
"13";2;0,0304358159564435;0,0892970441095531;100;1000;10;50;33;3804,09205811003
"14";2;0,0304358159564435;0,0892970441095531;100;1000;10;50;33;3917,21827578714
"15";2;0,0304358159564435;0,0892970441095531;100;1000;10;50;33;3744,95260098735
"16";2;0,0617234411649406;0,0498978680558503;100;1000;10;50;33;3548,83199684948
"17";2;0,0617234411649406;0,0498978680558503;100;1000;10;50;33;3987,52031814547
"18";2;0,0617234411649406;0,0498978680558503;100;1000;10;50;33;3865,79051633572
"19";2;0,0617234411649406;0,0498978680558503;100;1000;10;50;33;3812,62742910718
"20";2;0,0617234411649406;0,0498978680558503;100;1000;10;50;33;3800,34702406009
"21";2;0,0275141729786992;0,0614904105290771;100;1000;10;50;33;3537,56317570759
"22";2;0,0275141729786992;0,0614904105290771;100;1000;10;50;33;3959,36837666358
"23";2;0,0275141729786992;0,0614904105290771;100;1000;10;50;33;3846,29500832264
"24";2;0,0275141729786992;0,0614904105290771;100;1000;10;50;33;3795,04262191843
"25";2;0,0275141729786992;0,0614904105290771;100;1000;10;50;33;3780,57525306362
"26";3;0,0617568540014327;0,0432446914166212;100;1000;10;50;33;3230,10168568231
"27";3;0,0617568540014327;0,0432446914166212;100;1000;10;50;33;3515,94184925223
"28";3;0,0617568540014327;0,0432446914166212;100;1000;10;50;33;3587,09344786113
"29";3;0,0617568540014327;0,0432446914166212;100;1000;10;50;33;3538,19220056297
"30";3;0,0617568540014327;0,0432446914166212;100;1000;10;50;33;3463,94903390349
"31";3;0,095346334669739;0,0449508819915354;100;1000;10;50;33;3225,86412429825
"32";3;0,095346334669739;0,0449508819915354;100;1000;10;50;33;3501,4048673414
"33";3;0,095346334669739;0,0449508819915354;100;1000;10;50;33;3584,90187167137
"34";3;0,095346334669739;0,0449508819915354;100;1000;10;50;33;3554,88792785221
"35";3;0,095346334669739;0,0449508819915354;100;1000;10;50;33;3469,01493775322
"36";3;0,0304358159564435;0,0892970441095531;100;1000;10;50;33;3165,11983641316
"37";3;0,0304358159564435;0,0892970441095531;100;1000;10;50;33;3430,48651982882
"38";3;0,0304358159564435;0,0892970441095531;100;1000;10;50;33;3514,52928410854
"39";3;0,0304358159564435;0,0892970441095531;100;1000;10;50;33;3439,33229335069
"40";3;0,0304358159564435;0,0892970441095531;100;1000;10;50;33;3470,58460674728
"41";3;0,0617234411649406;0,0498978680558503;100;1000;10;50;33;3222,51220418875
"42";3;0,0617234411649406;0,0498978680558503;100;1000;10;50;33;3483,05311861726
"43";3;0,0617234411649406;0,0498978680558503;100;1000;10;50;33;3574,0242334671
"44";3;0,0617234411649406;0,0498978680558503;100;1000;10;50;33;3514,94738969878
"45";3;0,0617234411649406;0,0498978680558503;100;1000;10;50;33;3471,66030251416
"46";3;0,0275141729786992;0,0614904105290771;100;1000;10;50;33;3203,52460643294
"47";3;0,0275141729786992;0,0614904105290771;100;1000;10;50;33;3467,01646737725
"48";3;0,0275141729786992;0,0614904105290771;100;1000;10;50;33;3551,85694362457
"49";3;0,0275141729786992;0,0614904105290771;100;1000;10;50;33;3488,36936816041
"50";3;0,0275141729786992;0,0614904105290771;100;1000;10;50;33;3430,48285445004
"51";4;0,0617568540014327;0,0432446914166212;100;1000;10;50;33;3054,6222146371
"52";4;0,0617568540014327;0,0432446914166212;100;1000;10;50;33;3250,93025005921
"53";4;0,0617568540014327;0,0432446914166212;100;1000;10;50;33;3384,34378329902
"54";4;0,0617568540014327;0,0432446914166212;100;1000;10;50;33;3270,76152941155
"55";4;0,0617568540014327;0,0432446914166212;100;1000;10;50;33;3352,69219253945
"56";4;0,095346334669739;0,0449508819915354;100;1000;10;50;33;3054,5759220312
"57";4;0,095346334669739;0,0449508819915354;100;1000;10;50;33;3250,91407016981
"58";4;0,095346334669739;0,0449508819915354;100;1000;10;50;33;3389,67516500225
"59";4;0,095346334669739;0,0449508819915354;100;1000;10;50;33;3261,11041743938
"60";4;0,095346334669739;0,0449508819915354;100;1000;10;50;33;3343,35029779188
"61";4;0,0304358159564435;0,0892970441095531;100;1000;10;50;33;2974,96701120859
"62";4;0,0304358159564435;0,0892970441095531;100;1000;10;50;33;3168,01297645638
"63";4;0,0304358159564435;0,0892970441095531;100;1000;10;50;33;3298,10660320835
"64";4;0,0304358159564435;0,0892970441095531;100;1000;10;50;33;3203,31419562743
"65";4;0,0304358159564435;0,0892970441095531;100;1000;10;50;33;3262,01409300258
"66";4;0,0617234411649406;0,0498978680558503;100;1000;10;50;33;3047,17084303455
"67";4;0,0617234411649406;0,0498978680558503;100;1000;10;50;33;3243,31156115476
"68";4;0,0617234411649406;0,0498978680558503;100;1000;10;50;33;3374,24310267713
"69";4;0,0617234411649406;0,0498978680558503;100;1000;10;50;33;3268,85236270996
"70";4;0,0617234411649406;0,0498978680558503;100;1000;10;50;33;3380,02786638219
"71";4;0,0275141729786992;0,0614904105290771;100;1000;10;50;33;3014,22374134232
"72";4;0,0275141729786992;0,0614904105290771;100;1000;10;50;33;3208,95443840771
"73";4;0,0275141729786992;0,0614904105290771;100;1000;10;50;33;3353,31278956083
"74";4;0,0275141729786992;0,0614904105290771;100;1000;10;50;33;3242,50527913503
"75";4;0,0275141729786992;0,0614904105290771;100;1000;10;50;33;3321,0205785645
"76";5;0,0617568540014327;0,0432446914166212;100;1000;10;50;33;2814,11180035443
"77";5;0,0617568540014327;0,0432446914166212;100;1000;10;50;33;3149,49704418255
"78";5;0,0617568540014327;0,0432446914166212;100;1000;10;50;33;3179,57875459015
"79";5;0,0617568540014327;0,0432446914166212;100;1000;10;50;33;3092,26499308695
"80";5;0,0617568540014327;0,0432446914166212;100;1000;10;50;33;3126,43710249854
"81";5;0,095346334669739;0,0449508819915354;100;1000;10;50;33;2833,76046939821
"82";5;0,095346334669739;0,0449508819915354;100;1000;10;50;33;3118,84655713486
"83";5;0,095346334669739;0,0449508819915354;100;1000;10;50;33;3173,26763154496
"84";5;0,095346334669739;0,0449508819915354;100;1000;10;50;33;3075,47377917907
"85";5;0,095346334669739;0,0449508819915354;100;1000;10;50;33;3118,70203822217
"86";5;0,0304358159564435;0,0892970441095531;100;1000;10;50;33;2888,70453178532
"87";5;0,0304358159564435;0,0892970441095531;100;1000;10;50;33;3125,14612532854
"88";5;0,0304358159564435;0,0892970441095531;100;1000;10;50;33;3098,89346430051
"89";5;0,0304358159564435;0,0892970441095531;100;1000;10;50;33;2991,49821080772
"90";5;0,0304358159564435;0,0892970441095531;100;1000;10;50;33;3068,01830309937
"91";5;0,0617234411649406;0,0498978680558503;100;1000;10;50;33;2819,05463531064
"92";5;0,0617234411649406;0,0498978680558503;100;1000;10;50;33;3095,51648907825
"93";5;0,0617234411649406;0,0498978680558503;100;1000;10;50;33;3161,13794597337
"94";5;0,0617234411649406;0,0498978680558503;100;1000;10;50;33;3051,02935018932
"95";5;0,0617234411649406;0,0498978680558503;100;1000;10;50;33;3103,26328001437
"96";5;0,0275141729786992;0,0614904105290771;100;1000;10;50;33;2787,54400134033
"97";5;0,0275141729786992;0,0614904105290771;100;1000;10;50;33;3089,04861738154
"98";5;0,0275141729786992;0,0614904105290771;100;1000;10;50;33;3135,19493899125
"99";5;0,0275141729786992;0,0614904105290771;100;1000;10;50;33;3025,89320163074
"100";5;0,0275141729786992;0,0614904105290771;100;1000;10;50;33;3080,40813755744
"101";6;0,0617568540014327;0,0432446914166212;100;1000;10;50;33;2712,44837400852
"102";6;0,0617568540014327;0,0432446914166212;100;1000;10;50;33;3111,37251147846
"103";6;0,0617568540014327;0,0432446914166212;100;1000;10;50;33;3058,979056255
"104";6;0,0617568540014327;0,0432446914166212;100;1000;10;50;33;2969,72279153989
"105";6;0,0617568540014327;0,0432446914166212;100;1000;10;50;33;3061,47209015808
"106";6;0,095346334669739;0,0449508819915354;100;1000;10;50;33;2693,99362187766
"107";6;0,095346334669739;0,0449508819915354;100;1000;10;50;33;3017,99374708676
"108";6;0,095346334669739;0,0449508819915354;100;1000;10;50;33;3088,49231889557
"109";6;0,095346334669739;0,0449508819915354;100;1000;10;50;33;3009,72486235922
"110";6;0,095346334669739;0,0449508819915354;100;1000;10;50;33;3056,34476377877
"111";6;0,0304358159564435;0,0892970441095531;100;1000;10;50;33;2640,19000635922
"112";6;0,0304358159564435;0,0892970441095531;100;1000;10;50;33;2934,35309840117
"113";6;0,0304358159564435;0,0892970441095531;100;1000;10;50;33;3017,64173727769
"114";6;0,0304358159564435;0,0892970441095531;100;1000;10;50;33;2910,14461588913
"115";6;0,0304358159564435;0,0892970441095531;100;1000;10;50;33;3023,54138922466
"116";6;0,0617234411649406;0,0498978680558503;100;1000;10;50;33;2704,18551794434
"117";6;0,0617234411649406;0,0498978680558503;100;1000;10;50;33;3036,2886884862
"118";6;0,0617234411649406;0,0498978680558503;100;1000;10;50;33;3072,00374512864
"119";6;0,0617234411649406;0,0498978680558503;100;1000;10;50;33;2970,06838226796
